,Month,Days,DayOfWeek,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
95,7,17,6,1,3,18,1,95,98.81,74.25
96,4,8,4,1,2,24,0,100,136.23,70.0
97,10,9,6,1,3,21,1,100,79.53,55.25
98,9,14,2,1,3,21,0,100,82.88,74.1
99,12,2,4,2,3,94,1,66,99.37,118.15
100,4,13,1,1,7,5,4,82,76.78,65.0
101,10,28,4,3,3,58,3,95,168.05,167.9
102,1,17,0,1,3,4,0,94,77.55,70.0
103,7,1,4,2,3,78,3,100,124.75,111.75
104,10,27,3,2,3,0,3,96,90.77,134.0
105,6,2,3,4,2,64,0,99,103.86,122.55
106,5,21,4,3,1,24,0,100,105.12,70.0
107,11,16,2,1,3,64,1,91,84.23,93.0
108,12,9,4,1,3,21,1,89,103.1,70.85
109,9,3,4,1,3,9,3,100,103.53,102.94
110,12,13,1,4,2,24,0,78,81.45,70.0
111,2,12,5,1,6,107,1,100,119.43,127.2
112,10,25,0,3,3,1,1,100,91.41,110.0
113,6,18,4,2,3,1,1,94,120.05,89.0
114,6,30,3,1,3,3,0,100,91.59,70.0
115,11,2,1,3,2,5,0,100,80.91,65.0
116,9,1,3,1,7,103,1,100,85.45,85.0
117,5,24,1,1,2,5,0,100,86.61,65.0
118,11,10,3,1,5,58,3,96,90.7,109.0
119,12,5,0,1,3,104,3,100,100.87,134.0
120,12,10,5,1,3,72,3,99,148.0,131.12
121,6,9,3,1,3,24,0,100,96.16,70.0
122,7,17,6,0,3,5,1,95,98.81,65.0
123,2,12,4,1,3,1,1,95,104.41,105.0
124,2,9,2,1,3,20,1,83,77.53,52.0
125,4,11,0,1,3,42,1,88,82.45,84.15
126,12,3,5,1,3,58,3,99,133.03,149.0
127,8,26,4,1,2,58,1,100,111.28,95.0
128,2,17,3,1,2,3,0,100,116.42,70.0
129,11,29,1,1,2,5,1,74,81.3,65.0
130,11,18,4,1,0,21,0,99,129.02,126.1
131,3,5,5,1,2,64,1,100,132.36,154.23
132,5,20,4,1,3,20,1,100,125.44,96.85
133,7,29,4,2,3,104,1,100,144.11,169.0
134,11,17,3,1,2,0,1,90,85.09,100.0
135,2,9,2,1,3,64,1,83,77.53,76.0
136,9,11,6,3,2,0,1,94,79.22,80.0
137,9,1,3,1,6,64,1,100,85.45,99.75
138,4,9,5,1,3,0,0,100,125.3,164.0
139,8,16,1,1,3,20,1,100,84.0,67.6
140,6,2,3,1,5,24,0,99,103.86,70.0
141,7,1,4,2,3,0,1,100,124.75,149.0
142,9,9,4,1,2,21,0,100,99.83,74.1
143,9,9,4,1,3,0,1,100,99.83,95.0
144,11,11,4,1,2,1,1,100,137.21,149.0
145,7,5,1,3,3,0,0,93,93.76,70.0
146,2,11,4,3,2,24,0,100,119.76,70.0
147,5,7,5,1,7,9,1,100,125.34,107.26
148,6,19,6,5,2,25,0,90,84.33,70.0
149,8,5,4,1,5,58,0,100,119.15,169.0
150,3,27,6,1,3,0,1,63,79.46,80.0
151,5,21,5,2,2,106,3,100,131.73,125.1
152,7,15,4,1,2,106,0,100,135.93,152.1
153,5,18,2,1,5,0,1,100,85.9,124.05
154,12,20,1,2,3,37,0,76,88.01,82.21
155,2,15,0,4,2,25,0,93,69.71,70.0
156,8,31,2,1,5,21,0,95,79.46,61.75
157,8,26,4,2,2,1,1,100,111.28,125.0
158,5,14,5,1,7,103,1,100,125.86,85.0
159,6,24,4,1,3,64,1,100,128.01,163.93
160,11,22,0,2,2,5,0,77,76.26,65.0
161,5,12,3,1,7,9,1,100,84.13,120.96
162,11,12,5,1,2,0,1,100,120.07,149.0
163,12,22,3,1,3,0,3,75,80.09,90.0
164,8,12,3,2,3,24,0,100,86.3,70.0
165,6,26,5,5,2,25,0,100,114.39,70.0
166,9,9,3,1,6,5,0,99,88.2,65.0
167,8,28,6,20,7,3,0,88,79.88,70.0
168,4,13,2,1,6,64,1,100,84.24,94.05
169,9,27,1,1,2,103,1,100,83.68,85.0
170,6,29,2,1,1,4,0,100,88.57,70.0
171,5,6,4,1,5,25,1,100,135.53,70.0
172,12,5,0,1,3,0,1,100,100.87,119.9
173,5,9,6,5,3,25,0,81,73.02,70.0
174,1,12,2,4,2,104,3,94,78.84,104.1
175,2,15,0,2,6,25,0,93,69.71,70.0
176,4,29,4,2,5,56,1,100,150.9,162.71
177,10,9,6,1,2,64,1,100,79.53,90.25
178,3,15,1,1,2,64,3,93,77.62,90.25
179,4,17,5,1,7,5,0,100,119.59,65.0
180,5,2,0,1,2,0,4,85,81.53,90.0
181,10,15,5,1,5,24,1,100,135.68,70.0
182,7,10,6,5,3,25,0,97,102.02,70.0
183,11,22,1,1,5,106,0,80,84.32,108.3
184,7,9,5,1,2,48,1,100,157.86,155.73
185,7,29,4,1,2,24,0,100,144.11,70.0
186,9,18,6,1,3,78,1,76,81.88,85.5
187,10,29,5,1,2,50,0,100,173.64,224.1
188,12,12,0,1,2,59,3,85,84.8,96.89
189,5,13,4,2,5,72,1,100,115.42,139.92
190,9,22,3,4,6,64,1,99,96.31,118.97
191,11,11,4,1,2,24,0,100,137.21,70.0
192,3,10,3,1,5,103,1,100,104.51,85.0
193,4,25,0,7,2,3,1,86,84.11,70.0
194,3,26,5,1,2,25,0,100,133.64,70.0
195,5,23,0,1,2,68,1,88,85.5,40.0
196,5,27,4,1,2,58,1,100,115.71,139.0
197,12,12,0,1,7,0,4,85,84.8,99.0
198,3,7,0,1,3,0,0,84,79.07,102.75
199,12,31,4,1,3,0,1,81,105.58,85.0
200,8,18,3,1,5,64,1,100,86.65,113.05
201,6,10,3,1,3,103,1,99,87.1,85.0
202,4,23,5,1,3,64,1,100,136.41,241.53
203,1,29,5,1,3,0,1,100,122.01,139.0
204,9,28,2,1,7,24,0,100,90.55,70.0
205,5,2,6,5,3,25,0,84,75.99,70.0
206,3,19,5,1,3,24,0,100,142.26,70.0
207,8,16,0,1,5,103,1,100,79.18,85.0
208,1,16,6,1,2,0,0,99,83.51,90.0
209,12,25,6,1,3,58,0,94,83.73,104.0
210,7,14,3,8,7,0,0,100,107.72,179.0
211,12,26,0,1,2,9,1,99,82.32,75.6
212,10,21,4,1,3,64,3,100,115.9,163.93
213,6,18,4,2,3,1,1,94,120.05,100.0
214,12,27,1,3,3,37,1,99,89.3,90.12
215,5,26,3,5,6,0,1,100,94.61,137.8
216,10,26,2,1,7,0,1,100,99.19,99.0
217,8,5,4,1,3,20,1,100,119.15,102.44
218,12,19,0,1,2,106,4,77,86.44,98.8
219,2,7,0,1,6,64,1,94,82.99,99.13
220,12,27,0,1,3,64,1,99,85.63,80.75
221,9,12,0,1,3,5,0,100,85.45,65.0
222,4,1,4,1,3,64,1,100,126.56,125.13
223,9,28,2,1,3,24,0,100,90.55,70.0
224,4,28,3,1,3,0,1,100,98.14,129.0
225,8,31,2,1,5,9,1,95,79.46,104.16
226,7,24,6,1,7,58,3,97,89.21,99.0
227,4,25,0,1,3,0,1,86,84.11,85.0
228,3,10,3,1,2,35,0,100,104.51,195.0
229,3,12,5,1,2,0,1,100,149.7,129.0
230,8,21,6,5,3,3,0,72,82.68,70.0
231,11,23,1,2,3,1,1,86,77.69,105.0
232,3,1,0,1,3,1,1,99,92.14,95.0
233,7,1,4,1,3,0,1,100,124.75,79.0
234,10,14,4,2,3,58,1,100,132.17,159.0
235,10,7,4,2,2,64,1,100,171.94,154.23
236,12,26,0,1,1,64,1,99,82.32,96.72
237,8,5,4,2,5,0,1,100,119.15,147.6
238,4,22,4,1,3,106,1,100,145.64,130.0
239,4,14,3,1,1,64,0,100,87.7,98.8
240,10,24,0,3,5,15,0,100,96.98,80.0
241,11,15,1,1,7,0,3,99,97.23,124.0
242,10,28,4,2,2,0,1,95,168.05,199.0
243,7,30,5,1,2,15,1,100,150.52,110.0
244,12,7,2,1,2,0,0,80,80.65,95.0
245,3,19,5,1,2,0,1,100,142.26,174.0
246,2,4,4,1,3,49,1,100,111.79,114.22
247,2,8,1,1,3,106,4,88,76.98,99.95
248,2,1,1,2,6,64,1,100,78.92,96.62
249,8,20,5,1,3,104,0,100,100.31,99.0
250,12,5,0,1,3,24,0,100,100.87,70.0
251,5,6,4,2,7,104,3,100,135.53,172.8
252,3,27,6,1,3,0,1,63,79.46,80.0
253,10,28,4,2,7,15,0,95,168.05,179.1
254,10,22,5,1,6,58,1,100,136.45,229.0
255,9,2,4,2,3,1,0,100,127.68,126.65
256,9,14,2,1,3,24,0,100,82.88,70.0
257,12,31,4,1,3,28,0,81,105.58,89.25
258,11,18,4,2,6,1,1,99,129.02,159.0
259,10,29,5,1,2,0,1,100,173.64,159.0
260,3,3,3,1,0,0,1,93,86.11,85.0
261,11,28,0,1,6,58,3,65,82.16,99.0
262,12,10,5,1,3,104,3,99,148.0,194.0
263,5,28,5,0,3,0,0,100,121.25,119.0
264,3,21,0,5,3,64,3,100,93.14,113.76
265,9,27,1,1,6,0,1,100,83.68,129.0
266,10,22,5,1,3,0,1,100,136.45,169.0
267,7,30,4,1,2,1,0,100,114.16,105.0
268,1,15,4,1,6,1,1,83,97.43,115.0
269,8,27,4,2,2,1,1,100,106.66,104.0
270,12,28,1,1,3,104,3,87,76.94,89.0
271,7,4,0,1,3,0,1,64,101.11,95.0
272,8,18,3,1,3,9,3,100,86.65,87.36
273,3,2,2,1,2,5,0,99,84.76,65.0
274,7,17,6,7,3,5,0,95,98.81,65.0
275,12,7,1,1,3,4,0,88,73.14,70.0
276,3,16,2,1,2,0,1,97,85.57,109.0
277,5,24,1,5,3,68,1,100,86.61,40.0
278,2,4,4,1,2,0,1,100,111.79,139.0
279,7,25,6,5,6,25,0,92,82.87,70.0
280,3,15,1,1,2,5,0,93,77.62,65.0
281,4,21,2,2,3,24,0,93,75.92,70.0
282,2,23,1,1,6,1,1,99,85.17,95.0
283,4,29,4,2,6,55,1,100,150.9,173.73
284,2,20,6,2,2,1,1,92,107.71,125.0
285,12,9,4,1,1,106,1,89,103.1,132.05
286,9,23,4,1,3,5,0,100,147.46,65.0
287,10,4,1,2,2,25,0,100,77.29,70.0
288,2,21,6,2,3,1,0,100,105.86,125.0
289,10,28,4,2,3,15,0,95,168.05,65.0
290,7,5,1,1,2,41,3,93,93.76,116.1
291,5,29,6,1,3,58,1,74,92.14,104.0
292,8,29,6,4,2,3,0,88,89.59,70.0
293,8,9,0,1,2,24,0,96,80.59,70.0
294,8,15,0,4,5,104,3,100,84.22,133.8
295,3,13,6,1,2,0,1,90,87.62,85.0
296,1,14,4,1,2,18,1,100,107.54,89.25
297,6,15,2,1,2,5,0,100,91.07,65.0
298,5,14,5,1,3,74,1,100,125.86,119.2
299,5,20,4,1,3,58,1,100,125.44,149.0
300,2,22,1,2,3,1,1,100,99.05,100.0
301,3,22,1,3,2,0,1,99,86.83,109.0
302,2,8,1,1,3,5,0,88,76.98,65.0
303,11,7,0,4,3,24,0,83,80.2,70.0
304,11,23,2,4,2,39,1,61,84.42,84.07
305,9,5,0,2,3,106,1,81,80.09,102.6
306,2,8,1,1,6,9,1,88,76.98,88.2
307,4,17,6,1,5,103,0,82,80.24,85.0
308,8,11,3,1,3,58,1,99,85.41,111.7
309,11,22,1,2,3,85,1,80,84.32,86.48
310,11,19,4,2,3,1,1,99,121.0,125.0
311,9,26,0,1,3,0,0,100,83.7,104.0
312,9,3,4,2,3,1,1,100,103.53,115.0
313,7,24,6,5,3,25,0,97,89.21,70.0
314,1,24,0,4,3,3,0,85,74.37,70.0
315,4,7,3,1,2,0,1,100,88.39,124.0
316,10,10,0,4,3,3,0,100,82.35,70.0
317,12,31,4,1,2,0,0,81,105.58,85.0
318,5,20,4,1,3,24,0,100,125.44,70.0
319,9,2,4,1,3,48,3,100,127.68,125.45
320,2,12,5,1,6,15,0,100,119.43,82.5
321,1,19,2,2,3,1,1,96,77.41,115.0
322,11,19,4,2,7,1,1,99,121.0,135.0
323,5,7,5,1,3,18,1,100,125.34,89.25
324,6,1,2,1,3,52,3,92,91.31,107.1
325,2,27,6,5,3,3,0,94,112.02,70.0
326,12,13,1,2,2,78,0,78,81.45,78.75
327,4,8,4,2,5,55,1,100,136.23,147.54
328,3,6,6,2,5,106,1,83,80.13,76.5
329,8,16,1,1,3,42,1,100,84.0,88.4
330,2,5,5,1,5,24,0,100,112.22,70.0
331,3,3,3,1,2,9,1,93,86.11,95.76
332,1,26,2,1,6,103,1,96,75.92,85.0
333,12,10,5,1,3,64,1,99,148.0,184.3
334,2,9,2,2,3,64,1,83,77.53,76.0
335,8,30,1,2,0,5,4,98,82.25,65.0
336,8,9,0,1,3,103,1,96,80.59,85.0
337,6,6,0,2,3,20,1,100,86.44,76.54
338,7,14,3,2,6,0,1,100,107.72,124.0
339,2,3,3,1,7,0,1,100,94.55,117.8
340,2,6,6,1,2,0,1,100,104.88,95.0
341,5,5,3,1,5,0,0,99,89.27,65.0
342,1,24,0,1,4,24,0,85,74.37,70.0
343,10,16,6,1,3,58,1,79,74.03,85.0
344,9,13,0,5,2,24,0,90,81.04,70.0
345,8,4,2,1,5,24,0,95,75.92,70.0
346,8,29,0,1,3,9,1,93,81.64,104.16
347,9,2,4,2,6,21,1,100,127.68,103.35
348,7,10,6,7,3,56,0,97,102.02,127.76
349,10,13,3,3,5,82,1,100,84.35,79.97
350,5,26,3,1,7,0,1,100,94.61,137.8
351,7,1,4,1,7,56,3,100,124.75,141.08
352,10,2,6,1,3,58,1,100,81.67,114.0
353,2,7,0,1,3,5,0,94,82.99,65.0
354,6,29,2,1,7,64,0,100,88.57,114.67
355,1,10,0,1,3,32,0,82,72.59,59.2
356,3,16,2,1,2,78,1,97,85.57,81.75
357,6,12,6,1,3,20,0,86,84.34,58.5
358,9,15,2,3,7,24,0,99,81.91,70.0
359,8,12,4,3,3,4,0,99,109.71,70.0
360,7,25,0,3,5,103,1,99,88.52,85.0
361,7,9,4,2,3,1,1,100,114.87,110.0
362,5,11,2,1,3,0,1,100,76.22,104.0
363,6,21,1,2,3,25,0,100,90.76,70.0
364,12,31,4,1,2,0,0,81,105.58,139.0
365,4,6,1,1,3,5,0,88,76.4,65.0
366,4,13,2,2,5,103,0,100,84.24,85.0
367,7,17,6,1,3,0,3,95,98.81,129.0
368,2,20,6,5,2,25,0,92,107.71,70.0
369,11,30,2,1,3,64,1,76,83.06,96.72
370,9,16,4,2,2,41,3,100,122.23,103.82
371,8,3,2,1,2,72,1,95,95.08,109.0
372,6,29,2,2,7,102,0,100,88.57,89.85
373,3,8,1,1,6,0,1,100,94.95,136.3
374,3,21,0,2,6,4,0,100,93.14,70.0
375,10,7,4,2,2,0,1,100,171.94,199.0
376,6,2,3,1,2,24,0,99,103.86,70.0
377,7,15,4,1,3,50,0,100,135.93,107.1
378,1,10,0,1,5,64,0,82,72.59,95.1
379,12,29,2,1,3,56,1,90,78.69,67.28
380,5,9,6,5,3,19,0,81,73.02,70.0
381,4,6,2,1,3,20,1,99,84.45,67.6
382,12,23,4,1,3,64,1,70,88.56,94.05
383,2,10,3,1,3,58,1,96,102.62,85.0
384,9,28,2,2,2,81,3,100,90.55,91.2
385,1,21,4,1,3,103,0,91,89.82,85.0
386,12,1,3,2,2,1,1,100,104.94,109.0
387,11,5,5,1,5,103,1,96,112.5,85.0
388,8,30,1,2,7,0,1,98,82.25,80.0
389,6,5,6,1,3,0,4,88,91.36,99.0
390,9,18,6,1,2,104,1,76,81.88,114.0
391,4,28,3,1,2,0,4,100,98.14,119.0
392,11,19,5,1,0,0,1,99,136.32,129.0
393,11,11,4,1,2,0,1,100,137.21,149.0
394,4,8,4,1,3,0,1,100,136.23,139.0
395,10,4,1,1,5,64,3,100,77.29,108.3
396,12,29,2,1,2,0,1,90,78.69,90.0
397,9,9,4,2,7,106,3,100,99.83,139.23
398,8,20,5,1,2,21,1,100,100.31,70.85
399,5,7,5,1,3,0,1,100,125.34,189.0
400,5,29,6,1,3,0,0,74,92.14,104.0
401,6,20,0,2,3,21,1,100,91.59,77.35
402,1,11,1,1,6,0,1,96,76.55,119.0
403,8,7,6,5,2,25,0,92,87.99,70.0
404,1,29,5,1,3,58,3,100,122.01,139.0
405,2,6,6,1,3,1,1,100,104.88,129.0
406,9,12,0,1,2,0,0,100,85.45,119.0
407,2,10,3,1,7,64,1,96,102.62,103.55
408,9,23,4,3,3,106,1,100,147.46,206.1
409,1,23,6,1,2,103,0,78,76.06,85.0
410,9,10,4,1,3,1,1,100,114.73,120.0
411,8,18,2,1,7,4,0,99,79.82,70.0
412,2,5,5,1,3,1,1,100,112.22,109.0
413,7,4,0,4,3,0,0,64,101.11,70.0
414,3,4,4,2,3,1,1,100,136.06,120.0
415,5,17,0,1,3,5,0,89,78.21,65.0
416,11,4,4,1,3,24,0,93,115.84,70.0
417,5,17,1,1,3,45,1,100,83.55,103.55
418,5,12,3,1,2,41,1,100,84.13,114.66
419,2,7,0,1,3,64,1,94,82.99,90.25
420,2,2,2,1,2,0,4,97,74.85,90.0
421,9,16,4,1,2,21,0,100,122.23,83.85
422,5,5,2,2,2,1,0,100,88.75,105.0
423,6,5,6,1,3,20,0,88,91.36,64.35
424,12,10,5,2,3,94,3,99,148.0,147.9
425,1,28,4,1,3,0,1,100,121.52,80.0
426,5,14,5,1,2,0,1,100,125.86,139.0
427,3,2,1,1,6,103,1,89,74.87,85.0
428,10,20,3,1,2,68,1,96,81.19,40.0
429,2,28,0,1,2,20,1,87,78.75,55.25
430,2,2,2,6,2,4,0,97,74.85,70.0
431,2,6,6,1,2,20,1,100,104.88,90.35
432,12,1,3,1,3,24,0,100,104.94,70.0
433,12,30,4,3,1,91,1,77,92.93,98.52
434,4,17,6,1,2,26,0,82,80.24,70.0
435,6,24,4,1,2,4,0,100,128.01,70.0
436,8,14,6,1,2,106,1,100,83.17,102.6
437,10,8,5,1,3,56,0,100,170.76,154.92
438,12,30,3,1,3,0,4,90,89.96,109.0
439,5,7,5,1,3,72,1,100,125.34,113.52
440,4,22,4,4,2,70,1,100,145.64,152.15
441,2,13,6,1,3,4,0,82,83.81,70.0
442,7,15,4,1,2,0,1,100,135.93,189.0
443,6,30,3,1,7,0,1,100,91.59,126.85
444,1,13,2,2,5,5,0,66,74.04,65.0
445,8,23,1,3,6,24,0,98,82.48,70.0
446,8,1,0,1,3,24,0,81,85.57,70.0
447,4,23,5,3,5,41,1,100,136.41,215.1
448,7,6,2,1,3,20,1,100,109.12,64.35
449,9,6,1,1,3,72,3,100,32.56,100.32
450,12,19,0,3,3,0,0,77,86.44,114.0
451,7,9,4,2,2,1,1,100,114.87,105.0
452,10,28,4,1,2,0,1,95,168.05,99.0
453,10,21,4,2,3,64,3,100,115.9,163.93
454,8,23,1,3,2,24,0,98,82.48,70.0
455,7,11,0,3,5,28,1,100,109.3,100.5
456,11,9,2,1,1,21,0,100,89.3,70.85
457,9,7,2,1,3,24,0,100,88.23,70.0
458,2,19,4,2,3,1,1,99,103.64,115.0
459,4,21,3,1,2,102,1,100,96.94,89.25
460,10,10,0,4,3,3,0,100,82.35,70.0
461,8,13,5,1,2,0,0,100,112.73,130.0
462,8,14,5,1,6,1,1,98,111.62,125.0
463,8,19,4,1,3,28,1,100,101.48,74.25
464,7,2,5,2,3,106,3,99,124.14,162.1
465,10,22,5,1,0,9,1,100,136.45,180.79
466,11,2,2,1,3,58,1,97,84.95,99.0
467,10,21,4,2,3,21,1,100,115.9,119.6
468,11,18,4,2,3,1,1,99,129.02,149.0
469,3,25,4,1,2,25,0,100,149.51,70.0
470,3,18,4,2,5,1,1,98,141.58,139.0
471,4,16,5,1,5,3,0,100,113.29,70.0
472,3,14,0,1,5,20,1,85,77.05,64.35
473,2,1,1,1,6,64,1,100,78.92,95.62
474,8,8,6,4,3,3,0,87,79.7,70.0
475,1,17,0,1,2,0,1,94,77.55,82.0
476,11,12,5,1,3,1,1,100,120.07,125.0
477,8,1,6,1,7,103,1,95,81.73,85.0
478,10,4,1,2,6,25,0,100,77.29,70.0
479,12,21,2,1,3,58,1,84,85.9,104.0
480,10,13,3,1,3,103,1,100,84.35,85.0
481,10,13,3,1,5,24,0,100,84.35,70.0
482,6,13,0,1,2,20,0,100,93.27,83.85
483,3,22,1,1,6,104,0,99,86.83,104.0
484,12,16,4,2,6,1,0,100,149.38,141.36
485,1,18,1,1,3,18,1,98,76.0,66.75
486,6,9,3,2,5,58,0,100,96.16,129.0
487,2,11,3,1,3,1,1,98,90.3,110.0
488,11,24,3,2,1,84,1,62,93.22,105.46
489,4,13,2,1,7,107,1,100,84.24,79.2
490,9,10,5,1,2,0,1,100,103.01,114.0
491,3,22,1,2,3,104,3,99,86.83,104.0
492,10,15,5,1,5,0,3,100,135.68,149.0
493,7,5,1,1,5,0,1,93,93.76,109.0
494,1,29,5,1,3,104,1,100,122.01,139.0
495,2,13,6,3,2,1,0,82,83.81,70.0
496,1,3,0,1,2,0,1,93,73.59,90.0
497,12,28,1,1,3,64,1,87,76.94,84.55
498,8,26,4,2,0,0,1,100,111.28,139.0
499,10,7,4,2,2,106,3,100,171.94,179.1
500,12,17,4,1,3,1,0,100,111.95,101.15
501,7,5,1,1,3,0,1,93,93.76,99.0
502,8,19,4,3,7,3,0,100,101.48,70.0
503,12,21,2,1,3,9,1,84,85.9,87.36
504,6,11,5,1,2,50,0,100,130.83,143.1
505,10,21,4,1,3,1,1,100,115.9,129.0
506,2,7,0,1,3,9,1,94,82.99,75.01
507,2,9,2,1,3,0,1,83,77.53,80.0
508,10,27,3,2,7,58,3,96,90.77,134.0
509,9,1,3,1,3,64,1,100,85.45,117.8
510,1,20,3,1,3,1,1,100,89.22,115.0
511,10,19,2,1,3,78,1,100,81.86,85.5
512,3,23,2,1,5,0,1,90,85.39,114.0
513,10,7,4,2,7,0,3,100,171.94,179.0
514,6,5,6,1,3,58,3,88,91.36,119.0
515,11,26,5,1,3,24,0,97,109.18,70.0
516,1,28,4,1,3,0,1,100,121.52,159.0
517,7,27,2,1,3,104,1,98,90.77,139.0
518,12,27,0,2,3,72,0,99,85.63,99.0
519,10,7,4,2,3,81,1,100,171.94,159.2
520,2,5,4,2,2,1,1,92,106.5,100.0
521,7,28,3,6,4,64,3,100,93.61,120.89
522,12,11,5,2,3,1,1,100,123.58,115.0
523,1,9,5,1,3,103,0,100,92.13,85.0
524,5,31,1,1,3,16,1,78,88.02,102.56
525,9,12,0,1,0,0,0,100,85.45,119.0
526,7,29,4,2,2,72,0,100,144.11,175.12
527,6,23,2,7,6,24,0,96,82.18,70.0
528,4,11,0,10,3,24,0,88,82.45,70.0
529,7,9,5,1,2,9,1,100,157.86,172.14
530,5,1,6,1,2,0,1,76,79.59,90.0
531,12,19,0,3,3,0,0,77,86.44,114.0
532,1,22,5,1,3,15,1,100,120.28,110.0
533,7,11,0,3,2,0,1,100,109.3,119.0
