,Month,week_number,DayOfWeek,IsWeekend,IsHoliday,Nights,Type,RateCode,TrackCode,Occupied,ADR,Rate
112,1,4,0,0,0,1,3,18,1,94,77.55,73
113,1,4,4,0,0,1,3,25,0,91,89.82,70
114,1,2,5,1,0,1,6,0,1,100,108.21,65
115,1,2,5,1,0,1,2,15,1,100,108.21,95
116,1,4,2,0,0,1,3,5,0,96,77.41,65
117,1,3,3,0,0,3,3,1,1,98,91.08,125
118,1,5,5,1,0,2,3,0,1,100,122.01,139
119,1,5,6,1,0,1,6,64,0,78,76.06,81
120,1,5,4,0,0,1,3,9,1,100,121.52,94
121,1,5,4,0,0,1,2,58,1,100,121.52,99
122,1,4,6,1,0,1,2,0,0,99,83.51,90
123,1,3,1,0,0,1,3,64,1,96,76.55,85
124,1,3,0,0,0,3,3,18,0,82,72.59,60
125,1,4,6,1,0,5,2,25,0,99,83.51,70
126,1,4,5,1,0,1,3,0,0,100,120.28,145
127,1,5,3,0,0,1,3,25,0,99,87.29,70
128,1,5,5,1,0,1,3,58,1,100,122.01,149
129,1,5,2,0,0,2,3,0,1,96,75.92,85
130,1,2,1,0,0,1,3,0,1,91,75.58,92
131,1,3,3,0,0,3,2,1,1,98,91.08,125
132,1,4,4,0,0,1,2,64,1,91,89.82,86
133,1,4,5,1,0,1,6,1,1,100,120.28,139
134,1,5,2,0,0,1,2,0,1,96,75.92,94
135,1,2,6,1,0,5,3,3,0,88,79.73,70
136,1,4,6,1,0,2,5,0,0,99,83.51,90
137,1,4,4,0,0,1,3,0,1,91,89.82,99
138,1,6,0,0,0,2,3,32,1,100,78.06,66
139,1,3,5,1,0,1,2,64,1,100,111.28,125
140,1,5,2,0,0,1,2,0,1,96,75.92,85
141,1,5,5,1,0,1,3,0,1,100,122.01,139
142,1,2,4,0,0,2,2,0,1,86,108.62,136
143,1,4,6,1,0,1,3,64,0,99,83.51,112
144,1,6,6,1,0,1,3,58,1,63,76.11,89
145,1,4,0,0,0,1,3,20,1,94,77.55,52
146,1,6,0,0,0,1,2,24,0,100,78.06,70
147,1,5,2,0,0,1,6,103,1,96,75.92,85
148,1,4,6,1,0,1,3,0,0,99,83.51,103
149,1,2,1,0,0,1,2,4,1,91,75.58,70
150,1,4,1,0,0,2,6,32,0,98,76.0,66
151,1,4,6,1,0,1,1,20,0,99,83.51,55
152,1,6,0,0,0,1,3,30,1,100,78.06,91
153,1,2,6,1,0,1,2,64,3,88,79.73,85
154,1,2,5,1,0,1,5,0,4,100,108.21,162
155,1,3,4,0,0,1,3,33,3,100,107.54,136
156,1,2,5,1,0,1,6,4,0,100,108.21,70
157,1,3,5,1,0,1,7,1,1,100,111.28,139
158,1,4,6,1,0,3,3,18,0,99,83.51,64
159,1,3,4,0,0,1,3,104,0,100,107.54,129
160,1,4,6,1,0,1,7,0,0,99,83.51,118
161,1,3,2,0,0,1,3,103,0,94,78.84,85
162,1,5,6,1,0,1,3,0,0,78,76.06,95
163,1,2,0,0,0,1,1,20,1,93,73.59,55
164,1,2,1,0,0,1,3,18,1,91,75.58,69
165,1,3,5,1,0,1,2,104,3,100,111.28,140
166,1,3,6,1,0,1,2,0,1,61,76.0,99
167,1,5,1,0,0,1,3,78,1,93,75.62,82
168,1,5,3,0,0,1,3,0,1,99,87.29,99
169,1,6,6,1,0,1,2,58,0,63,76.11,85
170,1,4,2,0,0,2,6,24,1,96,77.41,70
171,1,2,1,0,0,3,3,18,1,91,75.58,69
172,1,3,6,1,0,5,1,25,0,61,76.0,70
173,1,3,6,1,0,1,7,0,1,61,76.0,100
174,1,5,2,0,0,1,2,24,1,96,75.92,70
175,1,4,5,1,0,1,3,1,1,100,120.28,125
176,1,4,5,1,0,1,6,1,1,100,120.28,139
177,1,2,1,0,0,1,6,0,1,91,75.58,107
178,1,2,3,0,0,1,5,0,1,84,76.19,104
179,1,2,0,0,0,1,3,20,0,93,73.59,55
180,1,5,5,1,0,1,1,0,4,100,122.01,119
181,1,5,3,0,0,1,0,24,0,99,87.29,70
182,1,5,5,1,0,1,2,64,3,100,122.01,135
183,1,6,0,0,0,1,2,24,1,100,78.06,70
184,1,1,5,1,0,0,3,0,1,79,92.58,85
185,1,1,5,1,0,1,2,0,4,79,92.58,109
186,1,4,5,1,0,1,5,25,0,100,120.28,70
187,1,4,5,1,0,1,2,1,1,100,120.28,137
188,1,4,6,1,0,1,3,64,1,99,83.51,112
189,1,2,4,0,0,1,2,64,1,86,108.62,101
190,1,5,0,0,0,2,1,0,3,85,74.37,89
191,1,3,4,0,0,1,2,28,1,100,107.54,89
192,1,4,2,0,0,2,3,1,1,96,77.41,115
193,1,1,5,1,0,0,3,0,1,79,92.58,80
194,1,5,6,1,0,1,5,64,3,78,76.06,81
195,1,5,6,1,0,1,6,48,1,78,76.06,80
196,1,4,3,0,0,1,1,18,1,100,89.22,86
197,1,6,0,0,0,1,2,4,0,100,78.06,70
198,1,4,6,1,0,1,0,0,0,99,83.51,113
199,1,5,6,1,0,5,3,3,0,78,76.06,70
200,1,3,1,0,0,1,2,64,0,96,76.55,94
201,1,5,1,0,0,1,2,28,1,93,75.62,64
202,1,5,1,0,0,1,3,64,0,93,75.62,94
203,1,5,4,0,0,1,2,1,1,100,121.52,120
204,1,4,5,1,0,1,3,3,0,100,120.28,70
205,1,3,0,0,0,1,3,0,1,82,72.59,80
206,1,1,5,1,0,1,2,0,0,79,92.58,109
207,1,4,6,1,0,1,3,0,1,99,83.51,118
208,1,4,3,0,0,1,3,18,1,100,89.22,74
209,1,3,5,1,0,1,2,4,0,100,111.28,70
210,1,3,5,1,0,1,3,0,4,100,111.28,129
211,1,5,4,0,0,1,3,58,1,100,121.52,159
212,1,5,5,1,0,1,2,0,3,100,122.01,109
213,1,3,6,1,0,1,3,64,3,61,76.0,98
214,1,3,1,0,0,2,4,0,1,96,76.55,99
215,1,2,0,0,0,1,7,64,1,93,73.59,99
216,1,6,0,0,0,1,2,0,0,100,78.06,99
217,1,4,6,1,0,15,5,103,0,99,83.51,85
218,1,2,1,0,0,1,1,20,1,91,75.58,55
219,1,2,6,1,0,1,2,0,1,88,79.73,99
220,1,4,3,0,0,1,3,1,1,100,89.22,115
221,1,4,5,1,0,1,3,1,1,100,120.28,125
222,1,4,3,0,0,2,6,6,0,100,89.22,65
223,1,4,6,1,0,5,2,25,0,99,83.51,70
224,1,5,2,0,0,1,1,20,1,96,75.92,55
225,1,3,1,0,0,4,1,48,1,96,76.55,81
226,1,4,3,0,0,1,3,1,1,100,89.22,115
227,1,5,6,1,0,1,2,0,1,78,76.06,99
228,1,4,1,0,0,1,3,0,1,98,76.0,85
229,1,6,0,0,0,2,7,0,0,100,78.06,90
